run_label,bins,dt_min,V10_min,V11_min,n_candidate,tau_us,tau_us_err,chi2,reduced_chi2
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,80,50,50,1052,2.201943685315752,0.12996559725782444,28.61652497232951,2.0440374980235365
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,80,50,50,1003,2.2040212725058317,0.13179914808212487,14.039995353316744,1.002856810951196
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,80,50,50,575,2.239990772058329,0.17620603224869666,20.924202700924802,1.4945859072089145
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,80,50,50,150,2.4831478247873626,0.5078052700169142,13.92776263057457,1.2661602391431428
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,80,50,50,35,1.9767199626573626,1.2040028550962851,2.804555530345582,0.4674259217242636
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,80,50,50,144,1.975230747018518,0.30044657238503697,13.384096709796879,1.3384096709796878
