run_label,bins,bin_width_ticks,bin_width_us,dt_min,dt_max,V10_min,V11_min,n_candidate,n_fit_bins,ndf,tau_us,tau_us_err,chi2,reduced_chi2
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,100,500,30,30,145,16,13,2.2930873536862335,0.47612267263560804,12.050500070913317,0.9269615439164091
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,100,500,30,30,33,11,8,1.2683134831977263,0.6514569608837671,3.8858698773867673,0.4857337346733459
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,100,500,30,30,149,16,13,1.1280932119711244,0.15322929866498503,11.526871098345795,0.8866823921804458
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,50,500,30,30,2147,45,42,1.9850234865638297,0.07341479260533436,49.14022872627463,1.1700054458636817
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,50,500,30,30,2071,44,41,2.017904985556911,0.07272737737008043,48.57865171952443,1.1848451638908397
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,50,500,30,30,1154,43,40,2.02993019127415,0.10068281357833656,39.31318666411317,0.9828296666028292
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,50,500,30,30,249,32,29,1.8766679039187708,0.28776979284678167,22.694407129326002,0.782565763080207
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,50,500,30,30,62,20,17,1.3676620065522147,0.6754414667180111,8.169080869393097,0.48053416878782923
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,50,500,30,30,258,29,26,1.7735652161413897,0.2341826335536284,26.507855925660675,1.0195329202177184
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,60,500,30,30,1900,44,41,2.0046694404440077,0.08187592944330502,48.81717815764785,1.19066288189385
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,60,500,30,30,1855,43,40,1.9717966860603857,0.07681681890546832,46.65026363526447,1.1662565908816118
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,60,500,30,30,1035,42,39,1.984413819795163,0.10628996132481315,38.19473774732943,0.9793522499315238
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,60,500,30,30,222,31,28,1.900648341576152,0.32385237389346366,22.65373742363286,0.8090620508440308
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,60,500,30,30,56,19,16,1.0540298657939942,0.5646763159951528,7.839304781572156,0.48995654884825973
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,60,500,30,30,233,28,25,1.6625923590567429,0.23392788138104234,25.156753477294142,1.0062701390917657
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,70,500,30,30,1703,43,40,1.9623092215206033,0.08728831903188695,47.75261708724373,1.1938154271810932
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,70,500,30,30,1614,42,39,2.0420374898691023,0.08886243922358718,41.98802569974531,1.076616043583213
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,70,500,30,30,914,41,38,2.002892533119943,0.11796480614337129,38.01811103388197,1.0004766061547887
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,70,500,30,30,202,30,27,1.7967676977592242,0.3281012919217179,22.106435868218185,0.8187568840080809
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,70,500,30,30,47,18,15,1.5822678588242958,1.235529042903631,6.890022151213807,0.4593348100809205
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,70,500,30,30,204,27,24,1.685559410651812,0.26428002200601647,25.090024412877995,1.0454176838699165
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,80,500,30,30,1500,42,39,2.011975987095293,0.10023986795776306,46.427841736266934,1.1904574804171009
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,80,500,30,30,1442,41,38,2.0161256395970075,0.0953253650862874,41.556276561144045,1.0935862252932644
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,80,500,30,30,803,40,37,2.0476665075678904,0.13343644619029538,37.07485306183113,1.0020230557251657
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,80,500,30,30,180,29,26,1.8285310137468913,0.3735959567728102,22.052461575160365,0.8481715990446295
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,80,500,30,30,42,17,14,1.7192384068018995,1.6527857351996316,6.850585226225991,0.4893275161589994
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,80,500,30,30,183,26,23,1.6127092787645436,0.27121870807607984,24.57687216857774,1.06855965950338
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,90,500,30,30,1333,41,38,2.033070192677469,0.11265124709961855,46.25166634511408,1.2171491143451074
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,90,500,30,30,1299,40,37,1.9326156080189496,0.09802602869861143,38.20211698128287,1.0324896481427803
